client_product,supplier_product,client_category,supplier_category,required_quantity,available_quantity,client_budget,supplier_unit_price,client_location,supplier_location,delivery_required,supplier_delivery_capability,match_label,label_rule
steel brackets,steel brackets,Steel & Metals,Steel & Metals,1169,1817,282938,159,Pune,Pune,14 days,21 days nationwide,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,steel brackets,Steel & Metals,Steel & Metals,1206,2321,201340,149,Pune Maharashtra,Pune Maharashtra,45 days,45 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,industrial metal components,Steel & Metals,Steel & Metals,1869,3346,522326,186,Pune Maharashtra,Pune Maharashtra,30 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,industrial metal components,Steel & Metals,Steel & Metals,2204,2475,535903,174,Chennai,Chennai,45 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,steel and aluminum mechanical parts,Steel & Metals,Steel & Metals,1009,2095,289334,194,Pune Maharashtra,Pune,45 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,steel and aluminum mechanical parts,Steel & Metals,Steel & Metals,4000,4909,893286,153,Chennai,Chennai,30 days,10 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,galvanized steel fasteners,Steel & Metals,Steel & Metals,7291,11592,723719,86,Mumbai,Pune,21 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,galvanized steel fasteners,Steel & Metals,Steel & Metals,4067,7403,1159123,189,Mumbai,Mumbai,21 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,stainless steel fittings,Steel & Metals,Steel & Metals,6258,12362,1335870,169,Pune,Pune,45 days,10 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,stainless steel fittings,Steel & Metals,Steel & Metals,5618,7190,1366188,164,Mumbai,Mumbai,14 days,21 days nationwide,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,corrugated cartons,Steel & Metals,Industrial Components,4013,4113,321040,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,industrial packaging boxes,Steel & Metals,Industrial Components,2565,2665,205200,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,protective packing material,Steel & Metals,Electronics,3059,3159,244720,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,custom cardboard cartons,Steel & Metals,Packaging,1129,1229,90320,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,steel brackets,Steel & Metals,Steel & Metals,5000,1000,800000,120,Pune,Pune,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel brackets,steel brackets,Steel & Metals,Steel & Metals,2000,9000,50000,80,Pune,Pune,10 days,30 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,steel brackets,Steel & Metals,Steel & Metals,1358,2469,253186,137,Chennai,Chennai,21 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
